service_id,date,exception_type
27_1093915,20230825,1
27_1093915,20230828,1
27_1093915,20230829,1
27_1093915,20230830,1
27_1093915,20230831,1
27_1093915,20230901,1
27_1093943,20230807,1
27_1093943,20230808,1
27_1093943,20230809,1
27_1093943,20230810,1
27_1093943,20230811,1
27_1093943,20230814,1
27_1093943,20230816,1
27_1093943,20230817,1
27_1093943,20230818,1
27_1093943,20230821,1
27_1093943,20230822,1
27_1093943,20230823,1
27_1093943,20230824,1
27_1093943,20230825,1
27_1093943,20230828,1
27_1093943,20230829,1
27_1093943,20230830,1
27_1093943,20230831,1
27_1093943,20230901,1
27_1093944,20230807,1
27_1093944,20230808,1
27_1093944,20230809,1
27_1093944,20230810,1
27_1093944,20230811,1
27_1093944,20230814,1
27_1093944,20230816,1
27_1093944,20230817,1
27_1093944,20230818,1
27_1093944,20230821,1
27_1093944,20230822,1
27_1093944,20230823,1
27_1093944,20230824,1
27_1093944,20230825,1
27_1093944,20230828,1
27_1093944,20230829,1
27_1093944,20230830,1
27_1093944,20230831,1
27_1093944,20230901,1
27_1093955,20230807,1
27_1093955,20230808,1
27_1093955,20230809,1
27_1093955,20230810,1
27_1093955,20230811,1
27_1093955,20230814,1
27_1093955,20230816,1
27_1093955,20230817,1
27_1093955,20230818,1
27_1093955,20230821,1
27_1093955,20230822,1
27_1093955,20230823,1
27_1093955,20230824,1
27_1093955,20230825,1
27_1093955,20230828,1
27_1093955,20230829,1
27_1093955,20230830,1
27_1093955,20230831,1
27_1093955,20230901,1
27_1093957,20230807,1
27_1093957,20230808,1
27_1093957,20230809,1
27_1093957,20230810,1
27_1093957,20230811,1
27_1093957,20230814,1
27_1093957,20230816,1
27_1093957,20230817,1
27_1093957,20230818,1
27_1093957,20230821,1
27_1093957,20230822,1
27_1093957,20230823,1
27_1093957,20230824,1
27_1093957,20230825,1
27_1093957,20230828,1
27_1093957,20230829,1
27_1093957,20230830,1
27_1093957,20230831,1
27_1093957,20230901,1
27_1093958,20230807,1
27_1093958,20230808,1
27_1093958,20230809,1
27_1093958,20230810,1
27_1093958,20230811,1
27_1093958,20230814,1
27_1093958,20230816,1
27_1093958,20230817,1
27_1093958,20230818,1
27_1093958,20230821,1
27_1093958,20230822,1
27_1093958,20230823,1
27_1093958,20230824,1
27_1093958,20230825,1
27_1093958,20230828,1
27_1093958,20230829,1
27_1093958,20230830,1
27_1093958,20230831,1
27_1093958,20230901,1
27_1093959,20230807,1
27_1093959,20230808,1
27_1093959,20230809,1
27_1093959,20230810,1
27_1093959,20230811,1
27_1093959,20230814,1
27_1093959,20230816,1
27_1093959,20230817,1
27_1093959,20230818,1
27_1093959,20230821,1
27_1093959,20230822,1
27_1093959,20230823,1
27_1093959,20230824,1
27_1093959,20230825,1
27_1093959,20230828,1
27_1093959,20230829,1
27_1093959,20230830,1
27_1093959,20230831,1
27_1093959,20230901,1
27_1093960,20230807,1
27_1093960,20230808,1
27_1093960,20230809,1
27_1093960,20230810,1
27_1093960,20230811,1
27_1093960,20230814,1
27_1093960,20230816,1
27_1093960,20230817,1
27_1093960,20230818,1
27_1093960,20230821,1
27_1093960,20230822,1
27_1093960,20230823,1
27_1093960,20230824,1
27_1093960,20230825,1
27_1093960,20230828,1
27_1093960,20230829,1
27_1093960,20230830,1
27_1093960,20230831,1
27_1093960,20230901,1
27_1093961,20230807,1
27_1093961,20230808,1
27_1093961,20230809,1
27_1093961,20230810,1
27_1093961,20230811,1
27_1093961,20230814,1
27_1093961,20230816,1
27_1093961,20230817,1
27_1093961,20230818,1
27_1093961,20230821,1
27_1093961,20230822,1
27_1093961,20230823,1
27_1093961,20230824,1
27_1093961,20230825,1
27_1093961,20230828,1
27_1093961,20230829,1
27_1093961,20230830,1
27_1093961,20230831,1
27_1093961,20230901,1
27_1093962,20230807,1
27_1093962,20230808,1
27_1093962,20230809,1
27_1093962,20230810,1
27_1093962,20230811,1
27_1093962,20230814,1
27_1093962,20230816,1
27_1093962,20230817,1
